V_DAC_V,V_A1_V,V_LED_V,I_mA
0.0000,0.0049,-0.0049,0.0222
0.1221,0.0049,0.1172,0.0222
0.2442,0.0000,0.2442,0.0000
0.3663,0.0000,0.3663,0.0000
0.4884,0.0000,0.4884,0.0000
0.6105,0.0000,0.6105,0.0000
0.7326,0.0000,0.7326,0.0000
0.8547,0.0000,0.8547,0.0000
0.9768,0.0000,0.9768,0.0000
1.0989,0.0000,1.0989,0.0000
1.2210,0.0000,1.2210,0.0000
1.3431,0.0000,1.3431,0.0000
1.4652,0.0000,1.4652,0.0000
1.5873,0.0000,1.5873,0.0000
1.7094,0.0000,1.7094,0.0000
1.8315,0.0000,1.8315,0.0000
1.9536,0.0000,1.9536,0.0000
2.0757,0.0098,2.0659,0.0444
2.1978,0.0049,2.1929,0.0222
2.3199,0.0244,2.2955,0.1111
2.4420,0.0342,2.4078,0.1555
2.5641,0.0342,2.5299,0.1555
2.6862,0.0489,2.6373,0.2222
2.8083,0.0684,2.7399,0.3110
2.9304,0.0733,2.8571,0.3332
3.0525,0.0880,2.9645,0.3999
3.1746,0.0978,3.0769,0.4443
3.2967,0.1955,3.1012,0.8887
3.4188,0.2199,3.1989,0.9997
3.5409,0.2199,3.3210,0.9997
3.6630,0.2590,3.4040,1.1775
3.7851,0.2493,3.5358,1.1330
3.9072,0.2786,3.6286,1.2663
4.0293,0.2933,3.7360,1.3330
4.1514,0.3226,3.8288,1.4663
4.2735,0.3372,3.9363,1.5329
4.3956,0.3568,4.0388,1.6218
4.5177,0.3812,4.1365,1.7329
4.6398,0.2786,4.3612,1.2663
4.7619,0.2933,4.4686,1.3330
4.8840,0.2835,4.6005,1.2885
FIN FSM
